"DATE_AND_TIME","TEMP_DEGC","PRESSURE_HPA","RAIN_MM","HUMIDITY_PERCENT","WIND_SPEED_MS","WIND_DIRECT_DEGREES","SWIN_WM2","SWOUT_WM2","LWIN_WM2","LWOUT_WM2","SM_TDT1_PERC","SM_TDT2_PERC"
"30-01-2016 06.00",-0.2,944,0,81.1,7.3,271,-1.9,-0.5,262.8,310.3,78,69.1
"30-01-2016 07.00",-0.4,945,0,78.8,6.7,263,-2.7,-0.5,252.6,308.1,78.2,69.2
"30-01-2016 08.00",0,945,0,75.4,8.4,259,-1.6,-0.4,263.6,309.7,77.9,69.1
"30-01-2016 09.00",0,945,0,78.6,9.2,262,19.4,4.5,285.6,311.7,77.9,69.1
"30-01-2016 10.00",-0.1,945,0,82.8,7.2,267,37.8,8.4,289.8,312.9,78.2,69.1
"30-01-2016 11.00",0.3,945,0,79.7,9.2,262,129.1,27.8,281.1,315,78.1,69
"30-01-2016 12.00",0.7,944,0,77.5,10.3,264,174.3,37.6,286.2,317.2,77.6,69.1
"30-01-2016 13.00",1.4,944,0.1,72.4,11.6,267,362,78.3,268.2,321.8,78,69.1
"30-01-2016 14.00",1.1,944,0,74.7,10.8,269,219.6,48,287.9,321.1,77.9,69.2
"30-01-2016 15.00",1.2,944,0,72.5,11.3,268,255.6,62.5,271.5,322.3,78.1,69.1
"30-01-2016 16.00",0.6,944,0,75,10.7,269,59.5,13.3,293.8,317.3,78,69.2
"30-01-2016 17.00",0.4,945.5,0,75.7,9.7,275,15.1,4,283.1,315.2,78.1,69.2
"30-01-2016 18.00",0.3,946,0,75.7,9.1,273,-1,0.1,288.6,314.5,78.2,69.1
"30-01-2016 19.00",0,946,0,78.9,8.5,279,-1.8,0.3,264.8,312.4,78,69.1
"30-01-2016 20.00",0,946.5,0,83.2,8.3,287,-0.6,0.1,300.8,313.8,77.9,69.2
"30-01-2016 21.00",0,947,0,82.8,6.5,285,-0.6,0.2,297.9,313.5,78.2,69.1
"30-01-2016 22.00",0.1,947,0,83.6,6.9,272,-1.2,0.2,285.9,313.4,77.9,69.1
"30-01-2016 23.00",-0.1,947,0,86.7,6.4,272,-2,0.3,262.7,311.6,78.2,69.1
"31-01-2016 00.00",0,947.5,0,85.5,5.7,264,-1,0.2,295.5,313.6,78.1,69.1
"31-01-2016 01.00",0.3,948,0,84.6,6,260,-0.8,0.1,302.2,314.9,78.1,69.2
"31-01-2016 02.00",0.4,948,0,83.4,5.9,266,-0.8,0.1,299.7,315.3,78.1,69.3
"31-01-2016 03.00",0.1,948,0,87,3.9,248,-1,0.1,298,314.4,78.1,69.3
"31-01-2016 04.00",0.5,947,0,87.8,4,257,-0.5,0.2,307.9,316.1,78.2,69.3
"31-01-2016 05.00",0.6,947,0,87.4,5,242,-0.7,0.1,306.3,316.6,78.2,69.3
"31-01-2016 06.00",0.2,946,0,93.4,3.8,252,-0.6,0.1,308.4,315.9,78.1,69.2
"31-01-2016 07.00",0.1,946,0.1,97.5,2.9,235,-0.6,0.5,310.8,315.5,78.2,69.2
"31-01-2016 08.00",0,946,0.1,100,4.2,196,0.2,0.6,313.9,315.9,78.4,69.3
"31-01-2016 09.00",0.3,946,0,100,4.4,197,5.6,1.5,316.4,317.2,78.2,69.3
"31-01-2016 10.00",0.9,945,0.1,100,4.8,196,18.7,3.5,319.5,319.6,78.2,69.3
"31-01-2016 11.00",1.3,945,0,100,3.6,197,30.2,5.1,321.9,322.7,78.4,69.2
"31-01-2016 12.00",1.5,945,0.1,100,4,187,44.5,7.5,322.6,324.1,78.1,69.2
"31-01-2016 13.00",1.4,945,0,100,3.7,188,46.6,7.6,322.4,324.6,78.1,69.3
"31-01-2016 14.00",1.9,945,0.3,100,2.3,184,55,8.9,325.5,327.6,78.4,69.3
"31-01-2016 15.00",2.3,945,0.3,100,2.2,182,39.4,6.2,327.5,329.5,78.1,69.3
"31-01-2016 16.00",2.4,945.5,0.3,100,2.2,169,22.6,3.7,327.9,329.2,78.3,69.3
"31-01-2016 17.00",2.7,946,0.4,100,2.4,160,3.6,0.7,328.8,329.2,78.3,69.3
"31-01-2016 18.00",2.9,946,1,100,3.5,164,-0.1,0.1,329.7,329.7,78.3,69.3
"31-01-2016 19.00",3.5,946,0.7,100,3,179,0,0.2,332.6,332.4,78.1,69.3
"31-01-2016 20.00",4.3,946.5,0.7,100,2.4,185,0,0.1,336.5,336.1,78.2,69.3
"31-01-2016 21.00",4.7,947,1.5,100,4.4,197,-0.1,0.1,338.4,338.1,78.3,69.3
"31-01-2016 22.00",5.8,947.5,1.5,100,3.1,218,0.1,0.2,343.5,343.1,78.3,69.2
"31-01-2016 23.00",7.7,948,0.5,100,4.9,241,0,0.1,353.2,352.6,78.1,69.4
"01-02-2016 00.00",7.9,949,0.2,100,4.2,245,-0.1,0,354.5,353.9,78.3,69.2
"01-02-2016 01.00",8.2,949,0.1,100,5.7,256,-0.1,-0.1,355.2,355,77.8,69.1
"01-02-2016 02.00",8.3,950,0,100,5.8,249,0,0,355.7,355.5,78.1,69.1
"01-02-2016 03.00",8.4,950,0,100,6.6,243,-0.1,-0.1,355.5,355.8,77.8,69.1
"01-02-2016 04.00",8.1,950,0,97.3,6.9,239,0.3,0.1,351,353.1,78,69.1
"01-02-2016 05.00",7.7,949,0,94.2,6.6,221,0.2,-0.3,347.6,350.4,78.2,69.2
"01-02-2016 06.00",7.4,949,0,98.6,7.5,202,-0.3,-0.4,348.5,350,78.4,69.1
"01-02-2016 07.00",6.8,948,0,100,9,223,-0.3,-0.2,346.9,347.9,77.9,69.2
"01-02-2016 08.00",6.6,947,0,100,8.8,219,-0.1,-0.1,346.6,347.3,78,69.1
"01-02-2016 09.00",6.9,946.5,0.1,100,10.2,223,2.7,0.4,348.6,349.2,78.1,69.1
"01-02-2016 10.00",7.5,945,0.2,98.7,12.2,231,15.9,2.4,348.6,351.4,78,69.2
"01-02-2016 11.00",7.8,945,0.2,90.9,11.9,244,33.3,4.6,340,350,78.1,69.1
"01-02-2016 12.00",7.2,945,0.1,88.8,11.6,256,49.7,7.9,339.2,347.1,77.9,69.1
"01-02-2016 13.00",7.1,946,0,78.2,12.5,255,111.1,21,329.5,345.4,77.9,69.1
"01-02-2016 14.00",6.6,946,0,76.4,11.4,258,97.1,18.9,322.6,343.3,78.1,69
"01-02-2016 15.00",6.1,945.5,0,75.8,11.5,252,61.3,13.7,326,340.5,77.8,69
"01-02-2016 16.00",5.4,946,0,72.7,11.8,251,73.7,17.5,315.4,337.3,78,69
"01-02-2016 17.00",5.2,946,0,69.5,12.1,247,12.3,3,309.6,333.8,77.7,69.1
"01-02-2016 18.00",4.8,946,0,68.8,12.5,250,0,0.3,309.8,332,78,69
"01-02-2016 19.00",4.8,945.5,0,68,13,249,-1,-0.1,313.7,331.9,78,69.1
"01-02-2016 20.00",4.3,945.5,0,72.9,13.1,251,-1.3,-0.3,312.3,330.5,78.1,69.1
"01-02-2016 21.00",3.2,946.5,0,79.8,12.4,253,-1.1,-0.1,307,326.4,78,69.1
"01-02-2016 22.00",3.4,946,0,77.7,12.1,256,-1.7,0.1,307.9,327.2,78.1,69.2
"01-02-2016 23.00",3.5,946,0,70.5,13.2,252,-1,0.1,303.7,326.4,78.3,69.2
"02-02-2016 00.00",3.4,946,0,68.5,12.2,253,-1,0,306,325.9,78.1,69.1
"02-02-2016 01.00",3.3,946,0,68.6,12.4,256,-1,-0.1,306,325.6,77.9,69.2
"02-02-2016 02.00",3.2,946,0,69.7,12.3,256,-0.9,-0.1,309.4,325.7,78,69.2
"02-02-2016 03.00",3.1,946,0,70.4,12.8,254,-0.8,-0.1,310.7,325.2,78,69.1
