"Code","Name"
"9204744","Beta [spp]"
"920235","Beta vulgaris"
"920235.09999999998","Beta vulgaris subsp.maritima"
"920238","Betula nana"
"920239","Betula pendula"
"920239","Betula pendula (c)"
"920239","Betula pendula (g)"
"920240","Betula pubescens"
"920240","Betula pubescens (c)"
"920240","Betula pubescens (g)"
"920240.09999999998","Betula pubescens subsp.tortuosa"
"9202301","Betula pubescens x pendula (c)"
"9202301","Betula pubescens x pendula (g)"
"9202301","Betula pubescens x pendula (s)"
"9204445","Betula seedling/sp"
"9204745","Bidens [spp]"
"920241","Bidens cernua"
"920242","Bidens tripartita"
"920243","Blackstonia perfoliata"
"910244","Blechnum spicant"
"810704","Blepharostoma trichophyllum"
"82069","Blindia acuta"
"920245","Blysmus compressus"
"920246","Blysmus rufus"
"9201860","Bolboschoenus maritimus"
"920247","Borago officinalis"
"71415501","Bostrychia scorpioides"
"910248","Botrychium lunaria"
"200001609","Brachypodium [spp]"
"920249","Brachypodium pinnatum"
"920250","Brachypodium sylvaticum"
"8201103","Brachythecium [spp]"
"82072","Brachythecium albicans"
"82076","Brachythecium mildeanum"
"82077","Brachythecium plumosum"
"82080","Brachythecium rivulare"
"82081","Brachythecium rutabulum"
"82084","Brachythecium velutinum"
"9204750","Brassica [spp]"
"920251","Brassica napus"
"920252","Brassica nigra"
"920253","Brassica oleracea (cultivated)"
"920254","Brassica rapa"
"82085","Breutelia chrysocoma"
"920255","Briza maxima"
"920256","Briza media"
"920257","Briza minor"
"920259","Bromopsis benekenii"
"920263","Bromopsis erecta"
"920265","Bromopsis inermis"
"920272","Bromopsis ramosa"
"9204752","Bromus [spp]"
"920258","Bromus arvensis"
"920262","Bromus commutatus"
"920269","Bromus hordeaceus"
"920264","Bromus hordeaceus subsp.ferronii"
"920275","Bromus hordeaceus subsp.thominei"
"920266","Bromus interruptus"
"920271","Bromus racemosus"
"920276","Bryonia dioica"
"8201106","Bryum [spp]"
"820112","Bryum algovicum"
"82089","Bryum argenteum"
"82090","Bryum bicolor sens.lat."
"82091","Bryum caespiticium"
"82094","Bryum capillare"
"8201106","Bryum erythrocarpum"
"820664","Bryum klinggraeffii"
"820665","Bryum microerythrocarpum"
"820110","Bryum pallens"
"820113","Bryum pseudotriquetrum"
"820115","Bryum rubens"
"820668","Bryum sauteri"
"820672","Bryum violaceum"
"820123","Bryum weigelii"
"920277","Buddleja davidii"
"5505325","Buellia epigaea"
"920282","Bunium bulbocastanum"
"920285","Bupleurum baldense"
"920283","Bupleurum falcatum"
"920287","Bupleurum tenuissimum"
"920288","Butomus umbellatus"
"920289","Buxus sempervirens"
"920289","Buxus sempervirens (g)"
"920291","Cakile maritima"
"200001610","Calamagrostis [spp]"
"920292","Calamagrostis canescens"
"920293","Calamagrostis epigejos"
"9202646","Calamagrostis purpurea"
"920295","Calamagrostis scotica"
"920294","Calamagrostis stricta"
"9204811","Calamintha [spp]"
"920300","Calendula officinalis"
"20000861","Calliergon [spp]"
"8203","Calliergon cordifolium"
"8204","Calliergon cuspidatum"
"8205","Calliergon giganteum"
"8206","Calliergon sarmentosum"
"8207","Calliergon stramineum"
"8208","Calliergon trifarium"
"920303.19999999995","Callitriche brutia"
"9202249","Callitriche cophocarpa"
"920303","Callitriche hamulata sens.lat."
"920303.09999999998","Callitriche hamulata sens.str."
"920302","Callitriche hermaphroditica"
"920304","Callitriche obtusangula"
"920307.09999999998","Callitriche platycarpa"
"9202249","Callitriche seedling/sp"
"920307","Callitriche stagnalis sens.lat."
"920308","Callitriche truncata"
"920309","Calluna vulgaris"
"920310","Caltha palustris"
"920310.09999999998","Caltha palustris ssp.minor"
"200001087","Calypogeia [spp]"
"8101275","Calypogeia [spp]"
"810711","Calypogeia azurea"
"8101275","Calypogeia cf. muelleriana"
"8101275","Calypogeia cf. trichomanis"
"810706","Calypogeia fissa"
"810707","Calypogeia muelleriana"
"8101275","Calypogeia trichomanis/muelleriana"
"200001581","Calystegia [spp]"
"9202266","Calystegia pulchra"
"920311","Calystegia sepium"
"920313","Calystegia silvatica"
"920312","Calystegia soldanella"
"9204768","Campanula [spp]"
"920315","Campanula glomerata"
"920316","Campanula latifolia"
"920318","Campanula patula"
"920320","Campanula rapunculoides"
"920322","Campanula rotundifolia"
"920323","Campanula trachelium"
"200001029","Campylium [spp]"
"820129","Campylium chrysophyllum"
"820130","Campylium elodes"
"820133","Campylium polygamum"
"8201078","Campylium stellatum"
"820134","Campylium stellatum var.protensum"
"8201110","Campylopus [spp]"
"820137","Campylopus atrovirens"
"820137","Campylopus atrovirens"
"820138","Campylopus brevipilus"
"820140","Campylopus fragilis"
"820141","Campylopus introflexus"
"820139","Campylopus paradoxus"
"820139","Campylopus paradoxus"
"820142","Campylopus pyriformis"
"20000492","Campylopus pyriformis/flexuosa"
"820143","Campylopus setifolius"
"820146","Campylopus shawii"
"920325","Capsella bursa-pastoris"
"9204771","Cardamine [spp]"
"920327","Cardamine amara"
"920625","Cardamine bulbifera"
"920328","Cardamine flexuosa"
"920329","Cardamine hirsuta"
"2000070","Cardamine hirsuta/flexuosa"
"920330","Cardamine impatiens"
"920331","Cardamine pratensis"
"9204774","Carduus [spp]"
"920335","Carduus crispus"
"920337","Carduus nutans"
"920339","Carduus tenuiflorus"
"920340","Carex acuta"
"920341","Carex acutiformis"
"920342","Carex appropinquata"
"920343","Carex aquatilis"
"920344","Carex arenaria"
"920345","Carex atrata"
"920346","Carex atrofusca"
"920349","Carex bigelowii"
"920350","Carex binervis"
"920352","Carex buxbaumii"
"920353","Carex capillaris"
"200001536","Carex caryophylla/pilulifera"
"920355","Carex caryophyllea"
"920356","Carex chordorrhiza"
"920359","Carex curta"
"920360","Carex davalliana"
"920362","Carex depauperata"
"920363","Carex diandra"
