FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1864-06,72.56,40.01,49.16,9.98,36.91,31.29,158.86,59.66,56.13,109.95,29.00,23.18,285.81,42.64,55.11,77.18,169.45,91.65,44.95,72.70,7.64,39.34,128.14,41.99,34.87,32.03,49.00,30.88,34.32,117.43,27.10,71.88,27.50,92.73,31.82,45.23,52.67
1864-07,41.20,14.37,42.00,4.70,12.94,12.04,100.97,30.46,23.43,63.62,13.13,15.43,181.82,17.21,29.12,44.75,65.89,61.43,29.49,101.29,3.73,20.11,44.70,12.48,21.10,13.02,20.23,7.86,11.02,70.37,10.96,40.62,9.71,54.08,13.25,19.58,26.58
1864-08,52.95,28.03,31.06,10.95,24.85,13.21,120.13,43.39,20.97,90.46,20.34,25.03,233.71,31.08,32.61,36.94,98.29,52.31,25.56,35.63,10.21,51.38,73.06,17.42,31.77,18.48,25.16,19.06,30.97,92.98,22.04,34.51,28.41,70.39,18.23,19.27,26.91
1864-09,109.90,70.71,81.51,21.70,60.93,32.11,229.10,104.49,82.49,168.67,48.87,52.45,400.59,63.16,82.99,111.87,243.51,129.51,46.78,118.77,21.18,85.36,172.28,58.62,75.65,42.22,94.58,51.63,76.63,173.95,40.66,116.20,62.10,143.81,45.01,63.36,106.93
1864-10,43.85,39.96,60.73,15.48,38.63,36.25,171.06,81.19,71.26,98.02,26.59,58.38,131.52,28.16,48.22,77.17,89.35,188.65,108.76,139.94,12.38,52.85,68.12,59.83,124.33,26.68,60.84,37.28,57.03,63.46,52.63,85.14,43.48,44.71,25.88,56.46,61.05
1864-11,93.44,64.20,101.55,116.53,67.99,66.39,172.72,98.99,67.86,148.88,87.56,67.22,356.98,56.45,71.79,75.21,160.78,116.34,49.12,98.31,127.67,146.30,119.90,95.09,125.55,50.06,61.90,104.50,121.99,150.48,82.62,98.73,90.30,109.60,52.36,55.81,150.45
1864-12,65.65,21.17,86.80,33.74,21.09,16.25,238.83,80.38,69.89,98.84,38.61,59.48,531.70,17.10,52.32,74.53,148.84,141.00,60.87,136.76,38.28,39.24,112.34,80.64,122.73,23.49,51.25,54.83,42.96,191.36,54.23,78.09,24.52,143.17,27.16,53.99,101.73
1865-01,72.93,90.39,99.52,93.89,84.05,62.56,149.50,100.11,79.28,163.03,83.86,28.19,307.95,91.36,61.24,46.32,181.29,85.25,29.71,102.31,95.66,145.44,142.21,137.04,64.48,58.33,61.38,122.11,120.13,127.80,67.49,89.38,88.44,88.05,59.66,63.81,217.47
1865-02,53.31,61.06,70.77,77.00,61.63,54.42,144.17,87.56,82.47,117.28,61.09,39.28,243.72,60.37,52.32,45.21,101.15,89.10,35.29,118.51,77.90,95.76,81.82,109.18,69.62,46.54,54.87,96.26,96.35,95.25,60.42,80.03,67.09,72.07,50.49,64.72,150.96
1865-03,36.48,26.03,53.46,81.67,24.82,45.09,83.81,50.39,35.18,79.37,51.49,27.86,149.11,31.45,27.32,29.33,84.67,62.43,35.13,114.31,82.85,50.92,64.61,28.78,65.41,28.35,26.28,25.33,30.56,59.73,54.11,35.57,26.62,49.48,30.05,25.34,102.99
