VEG_SPEC,DESC_LATIN,DESC_ABBR,ALTERNAME,VERSION_DATE,BRC_CONCEPT,BRC_NAME,GROWTH_STAGE
5530,Thelenella modesta,,,36587,,,
5532,Thelidium fumidum,,,36587,,,
5538,Thelidium pluvium,,,36587,,,
5540,Thelocarpon epibolum,,,36587,,,
5543,Thelocarpon laureri,,,36587,,,
5546,Thelocarpon olivaceum,,,36587,,,
5549,Thelomma ocellatum,,,36587,,,
5436,Rinodina atrocinerea,,,36587,,,
5462,Rinodina teichophila,,,36587,,,
5465,Sarcogyne clavus,,,36587,,,
5467,Sarcogyne regularis,,,36587,,,
5470,Schadonia fecunda,,,36587,,,
5473,Schismatomma cretaceum,,,36587,,,
5476,Schismatomma niveum,,,36587,,,
5479,Sclerophora peronella,,,36587,,,
5482,Scoliciosporum chlorococcum,,,36587,,,
5485,Siphula ceratites,,,36587,,,
5488,Solenopsora holophaea,,,36587,,,
5491,Sphinctrina leucopoda,,,36587,,,
5380,Pyrenocollema strontianense,,,36587,,,
5404,Rhizocarpon alpicola,,,36587,,,
5407,Rhizocarpon chioneum,,,36587,,,
5410,Rhizocarpon distinctum,,,36587,,,
5413,Rhizocarpon furfurosum,,,36587,,,
5416,Rhizocarpon hochstetteri,,,36587,,,
5422,Rhizocarpon obscuratum,,,36587,,,
5426,Rhizocarpon postumum,,,36587,,,
5428,Rhizocarpon simillimum,,,36587,,,
5432,Rhizocarpon viridiatrum,,,36587,,,
5326,Porocyphys leptogiella,,,36587,,,
5349,Protoparmelia badia,,,36587,,,
5352,Protoparmelia nephaea,,,36587,,,
5355,Protothelenella corrosa,,,36587,,,
5362,Psora globifera,,,36587,,,
5365,Psoroma hypnorum,,,36587,,,
5367,Pterygiopsis coracodiza,,,36587,,,
5371,Pyrenocollema argilospilum,,,36587,,,
5374,Pyrenocollema elegans,,,36587,,,
5377,Pyrenocollema orustense,,,36587,,,
5266,Phaeographis lyellii,,,36587,,,
5289,Polyblastia agraria,,,36587,,,
5292,Polyblastia cruenta,,,36587,,,
5295,Polyblastia dermatodes,,,36587,,,
5298,Polyblastia inumbrata,,,36587,,,
5301,Polyblastia sendtneri,,,36587,,,
5304,Polyblastia wheldonii,,,36587,,,
5307,Polysporina simplex,,,36587,,,
5310,Porina ahlesiana,,,36587,,,
5312,Porina chlorotica,,,36587,,,
5315,Porina grandis,,,36587,,,
5317,Porina ginzbergeri,,,36587,,,
5320,Porina linearis,,,36587,,,
