wrong_name,right_name
Salicornia europaea,Salicornia europaea agg.
Salix,Salix seedling/sp
Salix cinerea subsp. oleifolia (c),Salix cinerea (c)
Salix cinerea subsp. oleifolia (s),Salix cinerea
Salix cineria,Salix cinerea
Salix repens,Salix repens agg.
Salix seedling,Salix seedling/sp
Salixseedling,Salix seedling/sp
Sanguisorba sp,Sanguisorba [spp]
Scapania,Scapania [spp]
Schistidium crassipilum,Schistidium [spp]
Schistidium sp.,Schistidium [spp]
Scleropodium,
Scleropodium purum,Pseudoscleropodium purum
Scorpidium cossonii,
Scorpidium revolvens s.l.,
Scorzoneroides autumnalis,Leontodon autumnalis
Scrophularia,Scrophularia [spp]
Sesleria albicans,Sesleria caerulea
Silene flos-cuculi,Lychnis flos-cuculi
Sonchus,Sonchus [spp]
Sonchus sp,Sonchus [spp]
Sorbus aria (g),Sorbus aria
Spartina,Spartina [spp]
Sphagnum,Sphagnum [spp]
Sphagnum angustifolium,Sphagnum [spp]
Sphagnum capillifolium ssp rubellum,Sphagnum capillifolium
Sphagnum capillifolium subsp. rubellum,Sphagnum capillifolium
Sphagnum denticulatum,Sphagnum [spp]
Sphagnum fallax,Sphagnum [spp]
Sphagnum inundatum,Sphagnum [spp]
Sphagnum pulustre,Sphagnum palustre
Sphagnum recurvum s. l.,Sphagnum recurvum
Sphagnum recurvum s.l.,Sphagnum recurvum
Sphagnum spp.,Sphagnum [spp]
Stachys palustris/ambigua,Stachys [spp]
Stellaria,Stellaria seedling/sp
Stellaria alsine,Stellaria seedling/sp
Stellaria sp.,Stellaria seedling/sp
Straminergon stramineum,Calliergon stramineum
Symphytum sp.,Symphytum [spp]
Syntrichia ruraliformis,
Syntrichia ruralis,
Syntrichia ruralis subsp. ruraliformis,
Taraxacum,Taraxacum agg.
Taraxacum agg,Taraxacum agg.
Taraxacum fulvum,Taraxacum agg.
Taraxacum officinale,Taraxacum agg.
Taraxacum officinale agg,Taraxacum agg.
Taraxacum officinale agg.,Taraxacum agg.
Taraxacum sect. Ruderalia,Taraxacum agg.
Taraxacum sp.,Taraxacum agg.
Taraxicum agg,Taraxacum agg.
Taraxicum officinale,Taraxacum agg.
Taraxicum officinale agg,Taraxacum agg.
Thalictrum minus ssp. minus,Thalictrum minus
Thuidium,Thuidium [spp]
Thuidium sp,Thuidium [spp]
Thuidium tanariinum,Thuidium tamariscinum
Thymus sp,
Tortella sp.,Tortella [spp]
Tortula sp,Tortula [spp]
Tragopogon,Tragopogon [spp]
Trichophorum germanicum,
Trichophorum germinatum,
Trichophorum x foersteri,
Trifolium,
Trifolium campestra,Trifolium campestre
